comment_text,id,identity_hate,insult,obscene,set,severe_toxic,threat,toxic,toxicity
  fair use rationale for image wonju jpg  thanks for uploading image wonju jpg  i notice the image page specifies that the image is being used under fair use but there is no explanation or rationale as to why its use in wikipedia articles constitutes fair use  in addition to the boilerplate fair use template  you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use please go to the image description page and edit it to include a fair use rationale if you have uploaded other fair use media  consider checking that you have specified the fair use rationale on those pages too  you can find a list of  image  pages you have edited by clicking on the my contributions link  it is located at the very top of any wikipedia page when you are logged in and then selecting image from the dropdown box  note that any fair use images uploaded after may and lacking such an explanation will be deleted one week after they have been uploaded  as described on criteria for speedy deletion  if you have any questions please ask them at the media copyright questions page  thank you talk contribs unspecified source for image wonju jpg  thanks for uploading image wonju jpg  i noticed that the file s description page currently doesn t specify who created the content  so the copyright status is unclear  if you did not create this file yourself  then you will need to specify the owner of the copyright  if you obtained it from a website  then a link to the website from which it was taken  together with a restatement of that website s terms of use of its content  is usually sufficient information  however  if the copyright holder is different from the website s publisher  then their copyright should also be acknowledged as well as adding the source  please add a proper copyright licensing tag if the file doesn t have one already  if you created took the picture  audio  or video then the  tag can be used to release it under the gfdl  if you believe the media meets the criteria at wikipedia fair use  use a tag such as  or one of the other tags listed at wikipedia image copyright tags fair use  see wikipedia image copyright tags for the full list of copyright tags that you can use if you have uploaded other files  consider checking that you have specified their source and tagged them  too  you can find a list of files you have uploaded by following this link unsourced and untagged images may be deleted one week after they have been tagged  as described on criteria for speedy deletion  if the image is copyrighted under a non free license  per wikipedia fair use  then the image will be deleted hours after if you have any questions please ask them at the media copyright questions page  thank you talk contribs ,0005300084f90edc,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
bbq be a man and lets discuss it maybe over the phone ,00054a5e18b50dd4,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
hey  what is it talk what is it  an exclusive group of some wp talibans who are good at destroying  self appointed purist who gang up any one who asks them questions abt their anti social and destructive  non  contribution at wp ask sityush to clean up his behavior than issue me nonsensical warnings ,0005c987bdfc9d4b,0.0,0.0,0.0,train,0.0,0.0,1.0,1.0
before you start throwing accusations and warnings at me  lets review the edit itself making ad hominem attacks isn t going to strengthen your argument  it will merely make it look like you are abusing your power as an admin now  the edit itself is relevant this is probably the single most talked about event int he news as of late  his absence is notable  since he is the only living ex president who did not attend  that s certainly more notable than his dedicating an aircracft carrier i intend to revert this edit  in hopes of attracting the attention of an admin that is willing to look at the issue itself  and not throw accusations around quite so liberally  perhaps  if you achieve a level of civility where you can do this  we can have a rational discussion on the topic and resolve the matter peacefully ,0006f16e4e9f292e,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
oh  and the girl above started her arguments with me  she stuck her nose where it doesn t belong  i believe the argument was between me and yvesnimmo  but like i said  the situation was settled and i apologized  thanks ,00070ef96486d6f9,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 juelz santanas age  in juelz santana was years old  then came february th  which makes juelz turn making songs with the diplomats  the third neff to be signed to cam s label under roc a fella  in he was years old coming out with his own singles santana s town and down so yes  he is born in he really is  how could he be older then lloyd banks  and how could he be when his birthday passed  the homie neff is years old juelz death  god forbid if your thinking about that  equals go to your caculator and stop changing his year of birth  my god  ,00078f8ce7eb276d,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
bye  don t look  come or think of comming back  tosser ,0007e25b2121310b,0.0,0.0,0.0,train,0.0,0.0,1.0,1.0
redirect talk voydan pop georgiev  chernodrinski,000897889268bc93,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
the mitsurugi point made no sense why not argue to include hindi on ryo sakazaki s page to include more information ,0009801bd85e5806,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
don t mean to bother you i see that you re writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better i d like to ask you to take a closer look at the premature wrestling deaths catagory and the men listed in it  surely these men belong together in some catagory  is there anything that you think we can do with the catagory besides delting it ,0009eaea3325de8c,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 regarding your recent edits once again  please read wp filmplot before editing any more film articles your edits are simply not good  with entirely too many unnecessary details and very bad writing please stop before you do further damage the ,000b08c464718505,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  good to know  about me  yeah  i m studying now  deepu ,000bfd0867774845,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 snowflakes are not always symmetrical  under geometry it is stated that a snowflake always has six symmetric arms  this assertion is simply not true  according to kenneth libbrecht  the rather unattractive irregular crystals are by far the most common variety  http w its caltech edu  atomic snowcrystals myths myths htm perfection someone really need to take a look at his site and get facts off of it because i still see a decent number of falsities on this page forgive me im new at this and dont want to edit anything  ,000c0dfd995809fa,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 the signpost september read this signpost in full  single page  unsubscribe ,000c6a3f0cd3ba8e,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 re considering  st paragraph edit  i don t understand the reasons for  s recent edit of this article  not that i m sure that the data are necessarily wrong  rather  i m persuaded that the strategy of introducing academic honors in the first paragraph is an unhelpful approach to this specific subject i note that articles about other sitting justices have been similarly enhanced and i also believe those changes are no improvement  in support of my view that this edit should be reverted  i would invite anyone to re visit articles written about the following pairs of jurists a benjamin cardozo  a learned hand b john marshall harlan  b john marshall harlan ii  the question becomes  would the current version of the wikipedia article about any one of them  or either pair  be improved by academic credentials in the introductory paragraph i think not perhaps it helps to repeat a wry argument kathleen sullivan of stanford law makes when she suggests that some on the harvard law faculty wonder how antonin scalia avoided learning what others have managed to grasp about the processes of judging i would hope this anecdote gently illustrates the point  less humorous  but an even stronger argument is the one clarence thomas makes when he mentions wanting to return his law degree to yale at a minimum  i m questioning this edit it deserves to be reconsidered  ,000cfee90f50d471,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
radial symmetry several now extinct lineages included in the echinodermata were bilateral such as homostelea  or even asymmetrical such as cothurnocystis  stylophora ,000eefc67a2c930f,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
there s no need to apologize  a wikipedia article is made for reconciling knowledge about a subject from different sources  and you ve done history studies and not archaeology studies  i guess  i could scan the page  e mail it to you  and then you could ask someone to  trans late the page ,000f35deef84dc4a,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
yes  because the mother of the child in the case against michael jackson was studied in here motives and reasonings and judged upon her character just as harshly as wacko jacko himself don t tell me to ignore it and incriminate myself i am going to continue refuting the bull shit  that jayjg keeps throwing at me jun utc ,000ffab30195c5e1,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  ok  but it will take a bit of work but i can t quite picture it  do you have an example i can base it on the duck  ,0010307a3a50a353,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 a barnstar for you  the real life barnstar lets us be the stars ,0010833a96e1f886,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
how could i post before the block expires the funny thing is  you think i m being uncivil ,0011cc71398479c4,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
not sure about a heading of  fight for freedom  what will it contain ,00128363e367d703,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
praise looked at this article about months ago  much improved ,001325b8b20ea8aa,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
i was able to post the above list so quickly because i already had it in a text file in my hard drive  i ve been meaning to get around to updating the sound list for some time now as far as generating interest  i ve spent four years trying to drum up more interest in freely licensed full length classical music  unfortunately  my attempts failed i m still effectively the only one who does it  the classical music wikiproject was not interested wikipedia talk wikiproject classical music archive need help wikipedia talk wikiproject music archive i could use some helpwikipedia talk wikiproject music archive raulbot  c and the music list  so i really had given up trying to interest others  the sound list was featured on digg a while back http digg com music wikipedia has free classical music downloads it got diggs  which is imo very impressive ,001363e1dbe91225,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  well  not before the process but before how we do things with subpages his rfa is listed on noseptember s page and you can find it if you look  september i think  i have my differences with el c to be sure  but was surprised to see a block  so i left a note  t c  ,0013a8b1a5f26bcb,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 not at all  you are making a straw man argument here  i never claimed o donohue had that position  rather that practitioners and researchers in the field ignored the dsm position  which is exactly what the quote says and also something o donohue agrees with  again  i was combating the notion that it was a absurd part to claim that pedophilia is a  sex  orientation  since many researchers hold this position  it would be unfair to call it absurd  the disorder part is divided in the field  some argue that it is not a disorder at all  some do  at the end of the day  it is a value judgment  as cantor pointed out earlier in the thread not a scientific judgement  if we choose to make this value judgment in the article  it should be stated clearly and not pretend to have a scientific basis  ,00148d055a169b93,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 mainland asia includes the lower basin of china s yangtze river as well as korea but being specific is fine too i just found a citation for a more comprehensive dna study by hammer below  rather than our generarizations and speculation so far  citation for yayoi culture was brought to japan by migrants from korea  who in turn trace their roots to southeast asia south china dna study by hammer  describes the yayoi migration from korea based on the o sry genes and other genes with close lineage  haplogroups o m and o m reiterates that the entire o haplogroup has been proposed to have a southeast asian origin  their definition of southeast asia includes southern china then hypothesizes that the dispersals of neolithic farmers from southeast asia also brought haplogroup o lineages to korea and eventually to japan  in the concluding paragraph  it states we propose that the yayoi y chromosomes descend from prehistoric farmers that had their origins in southeastern asia  perhaps going back to the origin of agriculture in this region  hammer s dna study is based on a global sample consisted of males from asian populations  including six populations sampled from across the japanese archipelago  ,00151a9f93c6b059,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
pretty much everyone from warren county surrounding regions was born at glens falls hospital  myself included  however  i m not sure this qualifies anyone as being a glens falls native  rachel ray is  i believe  actually from the town of lake luzerne  the preceding unsigned comment was added by august utc ,0015f4aa35ebe9b5,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
hi explicit  can you block o fenian for edit warring on the giant s causeway wp  he has made several edits which can only be described as terrorism ,00169857adbc989b,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
notability of rurika kasuga a tag has been placed on rurika kasuga  requesting that it be speedily deleted from wikipedia  this has been done because the article seems to be about a person  group of people  band  club  company  or web content  but it does not indicate how or why the subject is notable  that is  why an article about that subject should be included in wikipedia  under the criteria for speedy deletion  articles that do not assert notability may be deleted at any time  please see the guidelines for what is generally accepted as notable  and if you can indicate why the subject of this article is notable  you may contest the tagging  to do this  add  on the top of the page  below the existing db tag  and leave a note on the article s talk page explaining your position  please do not remove the speedy deletion tag yourself  but don t hesitate to add information to the article that would confirm its subject s notability under the guidelines for guidelines on specific types of articles  you may want to check out our criteria for biographies  for web sites  for bands  or for companies  feel free to leave a note on my talk page if you have any questions about this ,0016e01b742b8da3,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 sure  but the lead must briefly summarize armenia s history  i simply added what i found necessary  if anyone thinks this or that sentence is redundant for the lead  they are welcome to remove make edits talk ,001735f961a23fc4,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
tfd i think we just eced  i think we responded to each other without seeing each others responses  i added something in response to yours  but don t know if you saw mine t c  wp chicago wp four ,00173958f46763a2,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
you are  gay  or antisemmitian archangel white tiger  meow  greetingsh uh  there are two ways  why you do erased my comment about ww that holocaust was brutally slaying of jew s and not  gay s gypsys slavs anyone if you are anti semitian  than shave your head bald and go to the skinhead meetings if you doubt words of the bible  that homo sex ity is a deadly sin  make a pentagram tatoo on your forehead go to the satanistic masses with your  gay  pals first and last warning  you fuck  ing  gay i won t appreciate if any more  nazi  shwain would write in my page  i don t wish to talk to you anymore beware of the dark side ,001810bf8c45bf5f,1.0,1.0,1.0,train,0.0,0.0,1.0,4.0
  fuck your filthy mother in the ass  dry ,00190820581d90ce,0.0,1.0,1.0,train,0.0,0.0,1.0,3.0
i m sorry i m sorry i screwed around with someones talk page it was very bad to do i know how having the templates on their talk page helps you assert your dominance over them i know i should bow down to the almighty administrators but then again  i m going to go play outside with your mom ,001956c382006abd,0.0,0.0,0.0,train,0.0,0.0,1.0,1.0
i don t believe the lisak criticism present there conforms with the npv rule lisak doesn t have a neutral point of view to begin with if an offer to polygraph or even concerned review of polygraph results shocks a complainant into thinking her lies have been uncovered  the recantation is still perfectly valid if you know you are telling the truth  you will argue with machine or investigator also part of kanin s research was a followup of the recanted story where possible to verify if any were false recantations in all followups the recanted version of events matched what the accused said happened arguing that lisak is a respected phd is baseless if kanin is a respected phd i agree that my edit wasn t as neutral as possible though  so apologize for that still something must be done here ,001b2dd65d9d925c,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
you had a point  and it s now ammended with appropriate encyclopedic notability significance ,001c419c445b5a59,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
in other words  you re too lazy to actually point anything out  until you change that approach  the tag goes ,001c557175094f10,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  as for your claims of stalking that is absolute rubbish and serves only to aggravate the situation  i have assumed good faith  and good intentions  on your part  and have never suggested  or seen reason to suggest  that you might have some ulterior motive in mass adding links to one specific company s web page  nor  for that matter  have i ever made any suggestion that this is an administrative matter or even mentioned such a role clearly  as a party to this disagreement  i would not do so at any rate as it would be a conflict of interest i would ask that you thus extend the same good faith toward me  rather than making spurious and unfounded accusations  chatspy ,001cadfd324f8087,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 jmabel  in regards to predominant scholary consensus who is it that allegedly claims despite third way rhetoric  fascism in power functioned rather consistently as a right wing force as far as i m aware  owning numerous books on the subject  that is not the scholary consensus at all  the consensus  developed by respected scholars of fascism who write in a manner which is not bias to any interest group such as roger griffin  hamish mcdonald  roger eatwell and zeev sternhell all recongise fascism as a third way as the references show the only dissenters i m aware of who seem to think fascism has absoutely no leftist connections and is merely a radical right system are street level socialists who want to put as much distance between the movements as possible  this of course does not come from educated people in a position to write books  for example  even the foremost scholary expert on fascism  and a former member of both the communist party and then socialist party of italy  renzo de felice doesn t try to cover up its socialistic origins and third way status  this is a man who has wrote a definitive seven volume piece on mussolini ,001d874a4d3e8813,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 bi  you said you wanted to talk  at the bottom of the lead section you have written its promoter speculated in that the skyhook concept could be cost competitive with what is realistically thought to be achievable using a space elevator  but the skyhook is not competitive with other rotating tether concepts  in addition  the rotating skyhook is in fact deemed not engineeringly feasible using presently available materials regarding in addition  the rotating skyhook is in fact deemed not engineeringly feasible using presently available materials that statement appears to come from ref on page the full quote is if the mass of the tether alone started to exceed times the mass of the payload  then that was an indication the particular scenario being considered was not engineeringly feasible using presently available materials  although the application might become feasible in the near future as better materials become available with higher tensile strengths at higher operational temperatures  it then goes on to say as we shall see  presently available commercial materials will suffice to make the hastol tethers needed  the primary message we want to leave with the reader is we don t need magic materials like buckminster fuller carbon nanotubes to make the space tether facility for a hastol system  existing materials will do  so it would appear that you misread your reference the tether mass of times mass of the payload mass is the upper limit to the problem systems where the tether mass is less than times the payload mass can be built with presently available commercial materials  to further reinforce this the conclusion to the report states the fundamental conclusion of the phase i hastol study effort is that the concept is technically feasible  we have evaluated a number of alternate system configurations that will allow hypersonic air breathing vehicle technologies to be combined with orbiting  spinning space tether technologies to provide a method of moving payloads from the surface of the earth into earth orbit  for more than one hastol architecture concept  we have developed a design solution using existing  or near term technologies  we expect that a number of the other hastol architecture concepts will prove similarly technically feasible when subjected to detailed design studies  the systems are completely reusable and have the potential of drastically reducing the cost of earth to orbit space access  regarding but the skyhook is not competitive with other rotating tether concepts  and a boeing report on the possibillity of combining skyhooks with hypersonic planes concluded that in general  the non spinning tether hyperskyhook concept does not look competitive with the spinning tether concepts the full quote is hyperskyhook  in zubrin proposed the hypersonic skyhook as a solution to the mismatch between the attainable atmospheric speeds of a hypersonic airplane and the orbital speeds of space tethers  since the orbital speed of the space tether decreases with increasing altitu,001d8e7be417776a,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
get fuck  ed up  get fuck  ed up got a drink that you cant put down get fuck up get fuck  ed up i m fuck  ed up right now ,001dc38a83d420cf,0.0,0.0,1.0,train,0.0,0.0,1.0,2.0
are you threatening me for disputing neutrality  i know in your country it s quite common to bully your way through a discussion and push outcomes you want  but this is not russia ,001e89eb3f0b0915,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
thanks  undeletion was more than i d hoped for  i m researching the status of texas government  including local government  copyright status  but it s slow going  apparently works of the florida government are usually public domain  but we don t have a similar article on texas  so i guess i ll have to research the old fashioned  non lazy  actually reliable way  or ask the copyright help desk  like you suggested  in the meantime  i m using the fair use rationale  since it s valid while the image is used in an article  thanks again ,001ee16c46a99262,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
awesome  then i ll simply disregard your notice  thanks ,001ffdcc3e7fb49c,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
stupid peace of  shit  stop deleting my stuff  ass hole  go die and fall in a hole go to hell ,0020e7119b96eeeb,0.0,1.0,1.0,train,1.0,0.0,1.0,4.0
 tony sidaway is obviously a fist  fuck  ee  he loves an arm up his ass ,0020fd96ed3b8c8b,0.0,1.0,1.0,train,0.0,0.0,1.0,3.0
 ga review ii i m sorry to say this  but i have to fail this article s gan  the several major problems that  brought up in this article s previous ga assessment have not been issued  as s he has said before me  he article s wp lead should be longer  the history  media attention  academics  student government  demographics  trivia  and additional information section are very deficient in citiations  also  triva and additional information should be integrated into the rest of the article  again  please look over wp wiaga and fix these problem  then renominate it for ga class  however  i have re assessed this article as b class  as it does meet b class criteria  my regards  ,00218d74784ce50b,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
my band page s deletion  you thought i was gone  deleting the comment i posted on your  talk page  does not delete my feelings for your hasty decision to delete my page  you  sir  are still a cock suck ing douche fuck sit back for a second and think about what your life has become done  that didn t take long did it  nope  because  as i am most certainly aware  your life is a  shit storm of sitting in front of the computer masturbating to fictional creatures  your attempts to get rid of me are mediocre at best  you are constantly  suck ing the dick of failure  you don t want a personal attack  huh  well  too bad fuck  cock  mcdickerson  you ve got one  from me  you can go ahead and delete my profile from wikipedia  i ll just make another one and come right back to  syrthiss s talk page and insult the dick off of you  how could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band  does that make you happy fuck  ing with people because you re an overweight  single  old man in a dead end job  did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you  yes you did  i don t make empty threats  so i won t be saying anything along the lines of  i ll hurt you  or  i ll eat the children from within your sister s womb but i will say that you are a  ass hole son of a bitch mother fuck  ing cock suck so  go eat some more food and drown your sorrows you premature ejaculating  bald headed fuck you should do something nice for yourself  maybe go grab a couple of horny goat weeds from your local convenience store and jack off for a little longer than three minutes tonight sincerely  an  ass hole  that s better than you in every way ,0021fe88bc4da3e6,0.0,0.0,1.0,train,0.0,0.0,1.0,2.0
why can t you believe how fat artie is  did you see him on his recent appearence on the tonight show with jay leno  he looks absolutely awful  if i had to put money on it  i d say that artie lange is a can t miss candidate for the dead pool  kindly keep your malicious fingers off of my above comment everytime you remove it  i will repost it ,002264ea4d5f2887,0.0,0.0,0.0,train,0.0,0.0,1.0,1.0
locking this page would also violate wp newbies whether you like it or not  conservatives are wikipedians too ,00229d44f41f3acb,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
a bi sex like a homo sex  or a hetero sex is not defined by  sex  activity much like a year old boy who is attracted to a girl  sex ly but has never had sex is still straight a person who is actually  sex ly attracted aroused by the same sex as well as the opposite sex is bi sex  ,0022cf8467ebc9fd,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
redirect talk frank herbert mason,0023daf96917e0d0,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 christian arabs hi  could you please stop enforcing the category christian arabs on non arabic christians living in the middle east  this is wrong  we middle eastern christians  though not arabs  have gone through arabization  and that needs to stop  we are not arabs  we have our own ethnicity  and we shouldn t be forced to be called christian arabs if a christian european is born in the middle east  should he be called a christian arab because of that reason alone  please understand  they are syriac christians  i e  of assyrian ancestry and most of them speak aramaic  though a lot of them are forgetting it  as someone who speaks aramaic  you should respect this fact  and not appease muslims who want to call everyone arabs just because they re in the middle east  we are not closely related to the arabs from saudiarabia  we have our own ethnicity  please stop forcing upon us some alien arab ethnicity  that s oppression talk jun utc  ,002746baedcdff10,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 dh  dude  abc officially says this is the name for that episode  i do know there is already an episode with that name  but abc says it s everybody s says don t ,00280c0d0652b366,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
all of my edits are good cunt s like you who revert good edits because you re too stupid to understand how to write well and then revert other edits just because you ve decided to bear a playground grudge  are the problem maybe one day you ll realise the damage you did to a noble project ,0028d62e8a5629aa,0.0,1.0,1.0,train,0.0,0.0,1.0,3.0
 neiln s bang on you aren t being harassed at all  if you don t edit disruptively  you don t get reverted  talk  ,00290e2a171dd073,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
i went there around the same time he did  and that certainly was not the case at the time  later on they stopped taking children from such a young age ,002918ae66cc4bc2,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
there must be some chemical imbalance in your brains  are you ok  the gibberish you guys are writing really makes me feel sorry for you  don t ever go to law school  you would do the legal profession bad ,0029541a38c523a0,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 parzival you are trying to scare thatso  how can you say that the comments of thatso are insulting thatso is trying to suggest that there should be no original research in the wikipedia  and  he is right ,0029b87aa9c7dc4a,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 oppose as the article stands  it does not properly reference under the wp reference guidelines  if this issue is resolved  i don t any issues with it being moved to the mainspace  ,002a13f2896596fa,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
i would appreciate an apology from both of you but i can see that is unlikely  if not please don t waste my time any longer with attempts at trying justify either your or plasma physics  trans gressions toward me or bother me any longer about this issue and i shall leave you alone and seek others here who deserve my considerate attention ,002a6beca33307b3,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
they are not original research  they are pointed in the episodes ,002b90cc8a94c76b,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 ambiguous so mabuska irish can mean more than one thing i will qoute you on that  thanks preceding unsigned comment added by of course it can  the word irish wasn t invented on the establishment of the irish free state  talk quote me all you want  it depends on the context of the term when its being used as to whether its applicable or not  note how i said citizenship and ethnicity i never mentioned nationality which is the real key meaning  the nationality meaning of the term is the predominantly used form on wikipedia  in nationality terms it refers to the republic of ireland  but you already know that i m sure  talk in nationality terms it refers to the republic of ireland no such country so nationality terms it refers to ireland preceding unsigned comment added by oh wow  ireland as in ireland the state  whose official description is the republic of ireland whats the point in this inane conversation  talk ireland whose official name is ireland preceding unsigned comment added by http w constitution ie reports constitutionofireland pdf reading for you also i see http w constitution ie reports mbunreachtnaheireann pdf as you speak both preceding unsigned comment added by ,002c9cccf2f1d05b,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
  while the magazine s masthead says time the corporate name is time inc you can easily look this up on the other hand  abn amro is always the corporate name you can look this up as well  ,002d6c9d9f85e81f,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
take your belated and piffling prevarications elsewhere  too late for here ,002e2d3db2b597c4,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
that s what i m looking through  it looks like he was just being an all around dick on talk pages though  it s nothing too bad though  looks more like an inability to express himself properly  thank you for your concern also  cheers ,002f0e29c60807b1,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
in the same direction  is it really necessary to name all the us states who recognize it  why not give just the number of states  this is not an american encyclopedia  but an universal one  i don t see why every single us states which recognize it should be named  ix ,0030614cfd96d9d1,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
 december utc you must not play metal gear solid that often  gw is the arsenal gear a i  that went haywire after solid snake uploaded emma s virus ,00316bcc0d1bc6e0,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
hi  i am back again  last warning  stop undoing my edits or die ,003217c3eb469ba9,0.0,0.0,0.0,train,0.0,1.0,1.0,2.0
 minimization of textile effluent  a proposed deletion template has been added to the article minimization of textile effluent  suggesting that it be deleted according to the proposed deletion process  all contributions are appreciated  but this article may not satisfy wikipedia s criteria for inclusion  and the deletion notice should explain why  see also what wikipedia is not and wikipedia s deletion policy you may prevent the proposed deletion by removing the  notice  but please explain why you disagree with the proposed deletion in your edit summary or on its talk page  also  please consider improving the article to address the issues raised  even though removing the deletion notice will prevent deletion through the proposed deletion process  the article may still be deleted if it matches any of the speedy deletion criteria or it can be sent to articles for deletion  where it may be deleted if consensus to delete is reached  if you agree with the deletion of the article  and you are the only person who has made substantial edits to the page  please add  to the top of minimization of textile effluent  ,00328eadb85b3010,0.0,0.0,0.0,train,0.0,0.0,0.0,0.0
